MCCMNC,,MCC,,MNC,,Country,Network / operator
28967,,289,,67,,Abkhazia,Aquafon
28968,,289,,68,,Abkhazia,A-Mobile
28988,,289,,88,,Abkhazia,A-Mobile
41201,,412,,1,,Afghanistan,Afghan Wireless/AWCC
41220,,412,,20,,Afghanistan,Roshan (Telecom Development Company Afghanistan)
41230,,412,,30,,Afghanistan,Etisalat
41240,,412,,40,,Afghanistan,Areeba (MTN)
41250,,412,,50,,Afghanistan,Etisalat
41280,,412,,80,,Afghanistan,Afghan Telecom Corp. (AT)
41288,,412,,88,,Afghanistan,Afghan Telecom Corp. (AT)
27601,,276,,1,,Albania,AMC Mobil
27602,,276,,2,,Albania,Vodafone
27603,,276,,3,,Albania,Eagle Mobile
27604,,276,,4,,Albania,PLUS Communication Sh.a
60301,,603,,1,,Algeria,ATM Mobils
60302,,603,,2,,Algeria,Orascom / DJEZZY
60303,,603,,3,,Algeria,Wataniya / Nedjma
54411,,544,,11,,American Samoa,Blue Sky Communications
544998,,544,,998,,American Samoa,American Samoa Telecom
21303,,213,,3,,Andorra,Mobiland (Servei De Tele. Dandorra) (Andorra Telecom)
63102,,631,,2,,Angola,Unitel
63103,,631,,3,,Angola,Angola Telecom (AKA MoviCel)
63104,,631,,4,,Angola,MoviCel
365010,,365,,10,,Anguilla,Digicell / Wireless Vent. Ltd / Weblinks
365050,,365,,50,,Anguilla,Digicell
365840,,365,,840,,Anguilla,Cable and Wireless
344030,,344,,30,,Antigua and Barbuda,APUA PCS  (Antigua Public Utilities Authority) / imobile
344050,,344,,50,,Antigua and Barbuda,Digicel
344920,,344,,920,,Antigua and Barbuda,LIME (C & W)
344930,,344,,930,,Antigua and Barbuda,Cing. Wirel./Digicel
722010,,722,,10,,Argentina Republic,Movistar (Compania De Radiocomunicaciones Moviles SA)
722020,,722,,20,,Argentina Republic,Nextel /  NII Holdings Inc (AG)
722040,,722,,40,,Argentina Republic,Globalstar
722070,,722,,70,,Argentina Republic,Movistar/Telefonica
722310,,722,,310,,Argentina Republic,Claro/ CTI/AMX
722320,,722,,320,,Argentina Republic,Claro/ CTI/AMX
722330,,722,,330,,Argentina Republic,Claro/ CTI/AMX
722340,,722,,340,,Argentina Republic,Telecom Personal S.A.
722341,,722,,341,,Argentina Republic,Telecom Personal S.A.
722350,,722,,350,,Argentina Republic,PORT-HABLE (Hutchison Telecommunications Argentina)
28301,,283,,1,,Armenia,Beeline/ArmenTel (Armenia Telephone Company)
28304,,283,,4,,Armenia,Karabakh Telecom
28305,,283,,5,,Armenia,Vivacell (K Telecom CJSC)
28310,,283,,10,,Armenia,Orange
36301,,363,,1,,Aruba,Setar GSM
36302,,363,,2,,Aruba,Digicel
36320,,363,,20,,Aruba,Digicel / New Millenium Telecom Services (NMTS)
50501,,505,,1,,Australia,Telstra Corp. Ltd.
50502,,505,,2,,Australia,Singtel Optus
50503,,505,,3,,Australia,Vodafone
50504,,505,,4,,Australia,Department of Defense
50505,,505,,5,,Australia,The Ozitel Network Pty.
50506,,505,,6,,Australia,Vodafone Hutchinson Australia (AKA Crazy John's)
50507,,505,,7,,Australia,Vodafone
50508,,505,,8,,Australia,Railcorp/Vodafone
50509,,505,,9,,Australia,Airnet Commercial Australia Ltd..
50511,,505,,11,,Australia,Telstra Corp. Ltd.
50512,,505,,12,,Australia,Vodafone Hutchinson Australia (AKA Crazy John's)
50513,,505,,13,,Australia,Railcorp/Vodafone
50514,,505,,14,,Australia,AAPT Ltd.
50516,,505,,16,,Australia,Victorian Rail Track Corp. (VicTrack)
50519,,505,,19,,Australia,Lycamobile Pty Ltd
50524,,505,,24,,Australia,Advanced Comm Tech Pty.
50526,,505,,26,,Australia,Dialogue Communications Pty Ltd
50532,,505,,32,,Australia,Thales Australia
50538,,505,,38,,Australia,Vodafone (previously Crazy John's)
50571,,505,,71,,Australia,Telstra Corp. Ltd.
50572,,505,,72,,Australia,Telstra Corp. Ltd.
50588,,505,,88,,Australia,Localstar Holding Pty. Ltd
50590,,505,,90,,Australia,Singtel Optus
50599,,505,,99,,Australia,Railcorp/Vodafone
23200,,232,,0,,Austria,Fix Line
23201,,232,,1,,Austria,A1 MobilKom
23202,,232,,2,,Austria,A1 MobilKom
23203,,232,,3,,Austria,T-Mobile
23204,,232,,4,,Austria,T-Mobile
23205,,232,,5,,Austria,Orange/One Connect (Drei/Three)
23206,,232,,6,,Austria,Orange/One Connect
23207,,232,,7,,Austria,T-Mobile/Telering
23208,,232,,8,,Austria,Telefonica
23209,,232,,9,,Austria,A1 MobilKom
23210,,232,,10,,Austria,H3G
23211,,232,,11,,Austria,A1 MobilKom
23212,,232,,12,,Austria,yesss! (Orange/One Connect)
23214,,232,,14,,Austria,H3G
23215,,232,,15,,Austria,T-Mobile/Telering
23216,,232,,16,,Austria,H3G
40001,,400,,1,,Azerbaijan,Azercell Telekom B.M.
40002,,400,,2,,Azerbaijan,J.V. Bakcell GSM 2000
40003,,400,,3,,Azerbaijan,Caspian American Telecommunications LLC (CATEL)
40004,,400,,4,,Azerbaijan,Azerfon.
40005,,400,,5,,Azerbaijan,Special State Protection Service of the Republic of Azerbaijan
